content	answer	dummy1	dummy2	explanation	is_opened
까방권의 뜻은 무엇일까요?	까임방지권	까마귀 통행을 방해하는 건물	되바라진 행동을 하는 권위적인 사람	까방권은 까임방지권의 줄임말로 "까방권 획득"처럼 사용합니다.	FALSE
돈쭐의 뜻은 무엇일까요?	돈으로 혼쭐내다	돈이 부족해서 쫄쫄 굶다	돈 많은 사람이 권위를 부리는 행태	돈쭐은 돈으로 혼쭐내다의 줄임말로 "우리 돈쭐내주자"처럼 사용합니다.	FALSE
많관부의 뜻은 무엇일까요?	많은 관심 부탁드립니다	많을수록 관대해지는 부자	많은 관심은 부담스러워	많관부는 많은 관심 부탁드립니다의 줄임말로 "오늘 공연 많관부"처럼 사용합니다.	FALSE
세젤예의 뜻은 무엇일까요?	세상에서 제일 예쁘다	세상에서 제일 예의바른 사람	세상에서 제일 예민한 사람	세젤예는 세상에서 제일 예쁘다의 줄임말로 "이거 완전 세젤예"처럼 사용합니다.	FALSE
엄근진의 뜻은 무엇일까요?	엄격하고 근엄하고 진지하다	엄마 근처로 진달래 구경 가요	엄지손가락 근데 진짜 아파	엄근진은 엄격하고 근엄하고 진지하다의 줄임말로 "엄근진 이미지"처럼 사용합니다.	FALSE
유하의 뜻은 무엇일까요?	유튜브 시청자 분들 안녕하세요	유유하고 하염없이	유명한 하숙집	유하는 유튜브 시청자 분들 안녕하세요의 줄임말로 "유하~"처럼 사용합니다.	FALSE
이왜진의 뜻은 무엇일까요?	이게 왜 진짜임?	이별할 때 왜 진지해지는거야?	이제서야 왜 진실을 말해주는 거야?	이왜진은 이게 왜 진짜?의 줄임말로 "이왜진? 가짜 아니야?"처럼 사용합니다.	FALSE
카공의 뜻은 무엇일까요?	카페에서 공부하기	자동차 공장	카메라 찍는 법 공부하기	카공은 카페에서 공부하기의 줄임말로 "나랑 같이 카공할 사람?"처럼 사용합니다.	FALSE
현타의 뜻은 무엇일까요?	현실 자각 타임	현명한 타인	현금으로 인해 타락한 사람	현타는 현실 자각 타임의 줄임말로 "현타 온다"처럼 사용합니다.	FALSE
트민남의 뜻은 무엇일까요?	트렌드에 민감한 남자	특히 민감한 남편	트위터 소식에 민첩한 남자	트민남은 트렌드에 민감한 남자의 줄임말로 "트민남이 선택한 음식"처럼 사용합니다.	FALSE
주린이의 뜻은 무엇일까요?	주식투자 초보자	굶주리는 어린이	주말에 공부하는 어린이	주린이는 주식투자 초보자를 의미하는 신조어로 "주린이가 꼭 알아야 할 것"처럼 사용합니다.	FALSE
뉴비의 뜻은 무엇일까요?	인터넷에서 활동한 지 얼마 안 되어 서투른 사람	새로운 비즈니스 파트너	뉴스와 비행기	뉴비는 인터넷에서 활동한 지 얼마 안 되어 서투른 사람을 의미하는 신조어로 "나는 아직 뉴비야"처럼 사용합니다.	FALSE
덕통사고의 뜻은 무엇일까요?	교통사고처럼 우연하고 갑작스럽게 어떤 분야의 팬이나 마니아가 됨	덕수궁에서 통풍 때문에 발생한 사고	덕질하다가 앞을 보지 못해 당하는 교통 사고	덕통사고는 교통사고처럼 우연하고 갑작스럽게 어떤 분야의 팬이나 마니아가 되는 것을 의미하는 신조어로 "아이돌 덕통사고 당했다"처럼 사용합니다.	FALSE
딸바보의 뜻은 무엇일까요?	딸 앞에서 바보가 될 정도로 딸을 너무나도 사랑하는 엄마나 아빠	멍청해서 바보가 된 딸	딸이 바보가 되지 않게 노력하는 엄마나 아빠	딸바보는 딸 앞에서 바보가 되는 사람의 줄임말로 "우리 아빠는 딸바보이다"처럼 사용합니다.	FALSE
능지의 뜻은 무엇일까요?	지능	능숙하게 지도하는 사람	능력을 펼칠 시기는 바로 지금	능지는 지능을 의미하는 신조어로 "능지 올랐네"처럼 사용합니다.	FALSE
